Date,Open,High,Low,Close,Volume,Adj Close
2011-12-01,125.28,126.06,124.85,125.36,3207900,116.78072
2011-11-30,123.89,125.63,123.64,125.40,5153700,116.81798
2011-11-29,120.43,121.25,120.02,120.47,3620000,112.22538
2011-11-28,119.88,120.56,119.22,120.04,3976400,111.82481
2011-11-25,116.74,118.06,116.64,116.64,1583100,108.65749
2011-11-23,118.46,118.58,116.93,116.93,4129100,108.92764
2011-11-22,119.81,120.48,118.92,119.57,3448400,111.38697
2011-11-21,120.57,120.73,119.08,120.05,4396000,111.83412
2011-11-18,122.88,123.12,121.87,122.34,2507200,113.96739
2011-11-17,124.27,124.57,121.66,122.50,5357200,114.11645
2011-11-16,125.26,126.75,124.31,124.48,5489700,115.96095
2011-11-15,125.63,127.17,125.15,126.58,2927000,117.91723
2011-11-14,126.64,126.78,125.35,125.88,2788600,117.26513
2011-11-11,126.26,127.43,126.23,127.10,1880400,118.40163
2011-11-10,125.20,125.36,123.45,124.77,4359200,116.23109
2011-11-09,125.34,125.89,123.31,123.57,4162000,115.11322
2011-11-08,127.34,128.44,126.15,128.30,5425400,119.51952
2011-11-07,125.83,126.81,124.64,126.65,2145300,117.98244
2011-11-04,125.70,126.11,124.44,125.88,2511900,117.26513
2011-11-03,125.73,126.92,124.02,126.66,3129800,117.99175
2011-11-02,124.25,124.82,123.21,124.39,4202300,115.8771
2011-11-01,122.42,123.92,121.95,122.46,18865300,114.07919
2011-10-31,127.59,127.69,125.78,125.80,5341200,117.19061
2011-10-28,128.42,129.27,127.84,129.05,3718900,120.21819
2011-10-27,128.07001,129.85001,127.04,129.06,5532900,120.2275
2011-10-26,124.79,125.19,122.63,124.75,4547300,116.21246
2011-10-25,125.31,125.35,123.20,123.50,5160000,115.04801
2011-10-24,124.55,126.22,124.47,125.95,4167600,117.33034
2011-10-21,123.52,124.52,123.15,124.33,4560300,115.82121
2011-10-20,121.85,122.49,120.24,122.09,2339300,113.7345
2011-10-19,122.81,123.48,121.12,121.51,5173900,113.19421
2011-10-18,120.52,123.93,119.63,123.06,8110200,114.63812
2011-10-17,122.39,122.47,120.34,120.66,3189800,112.40237
2011-10-14,122.29,123.00,121.65,122.94,3727400,114.52634
2011-10-13,120.47,121.27,119.51,120.87,1850400,112.598
2011-10-12,120.98,122.53,120.75,121.07,3990200,112.78431
2011-10-11,119.25,120.41,119.17,120.08,1447800,111.86207
2011-10-10,118.05,120.00,118.05,119.98,1717800,111.76891
2011-10-07,117.54,117.64,115.48,116.07,3135400,108.1265
2011-10-06,114.72,117.03,113.93,116.90,3808100,108.8997
2011-10-05,112.96,115.09,111.97,114.80,3930300,106.94342
2011-10-04,108.70,112.97,107.80,112.56,5900000,104.85671
2011-10-03,112.87,114.32,110.20,110.26,4839200,102.71412
2011-09-30,114.85,115.82,113.45,113.69,4454800,105.90938
2011-09-29,117.46,118.01,114.32,116.47,3782600,108.49912
2011-09-28,118.18,118.86,115.37,115.46,2069600,107.55824
2011-09-27,118.91,119.93,117.24,117.91,4106300,109.84058
2011-09-26,115.00,116.77,113.35,116.59,4215200,108.61091
2011-09-23,113.15,115.14,113.02,114.41,5883800,105.99322
2011-09-22,114.24,115.21,112.30,113.87,8307100,105.49294
2011-09-21,121.28,121.64,117.46,117.46,6616000,108.81884
2011-09-20,121.88,123.04,121.05,121.22,2426100,112.30223
2011-09-19,120.55,121.98,119.77,121.36,4101900,112.43193
2011-09-16,122.33,123.00,121.37,122.55,4447600,113.53439
2011-09-15,121.04,121.88,120.00,121.83,3066000,112.86736
2011-09-14,118.75,121.19,117.12,119.67,3469800,110.86625
2011-09-13,117.43,118.58,116.60,118.01,4040800,109.32838
2011-09-12,114.83,117.15,114.45,117.06,4429900,108.44827
2011-09-09,118.10,118.49,115.68,116.26,5141100,107.70712
2011-09-08,119.99,121.36,119.18,119.45,4173500,110.66244
2011-09-07,119.18,120.76,118.79,120.68,2464800,111.80195
2011-09-06,114.78,117.55,114.78,117.39,4772700,108.75399
2011-09-02,118.86,119.48,117.84,118.22,2806300,109.52293
2011-09-01,122.70,123.82,121.21,121.39,2941800,112.45972
2011-08-31,122.89,123.95,121.75,122.64,4543000,113.61776
2011-08-30,121.28,122.86,120.37,122.04,3501200,113.0619
2011-08-29,119.94,121.85,119.89,121.79,3258700,112.83029
2011-08-26,116.09,118.91,114.27,118.42,5798600,109.70821
2011-08-25,119.15,119.80,116.27,116.66,4785300,108.0777
2011-08-24,116.58,118.65,116.33,118.51,4311700,109.7916
2011-08-23,113.55,116.94,112.98,116.83,6578300,108.23518
2011-08-22,115.61,115.63,112.83,113.12,4998800,104.79812
